LocationID,ACCESS2,ARTHRITIS,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,DENTAL,DEPRESSION,DIABETES,HIGHCHOL,LACKTRPT,MAMMOUSE,OBESITY,STROKE,TEETHLOST
24017851501,7.0,21.7,37.7,73.7,4.9,11.2,3.8,80.3,89.9,67.5,4.4,66.0,17.7,11.6,33.1,8.9,82.4,42.2,2.7,7.4
24017851502,7.6,24.3,41.2,76.0,5.5,11.5,4.6,81.4,89.7,66.1,5.2,63.5,17.5,13.3,34.1,10.0,81.3,43.7,3.4,7.7
24021740200,6.3,27.2,34.1,76.8,9.6,9.8,5.4,79.4,90.9,70.0,5.2,72.5,21.4,10.1,39.9,5.1,76.7,34.0,2.8,4.4
24021750100,7.8,24.6,33.0,72.8,7.3,10.4,5.0,77.0,87.8,65.3,5.7,59.5,23.6,10.3,37.0,7.3,73.8,38.0,2.7,9.3
24021750200,5.5,25.3,32.5,75.2,8.9,9.7,5.3,78.3,89.5,72.5,5.0,68.7,22.8,9.5,38.4,5.2,76.0,34.4,2.6,5.6
24021750300,8.1,23.1,33.7,73.2,6.3,10.5,5.0,77.0,87.0,68.0,5.3,59.8,22.3,10.9,35.1,8.1,75.2,38.1,3.0,11.6
24021750504,10.1,23.8,34.2,74.2,6.9,10.1,5.2,78.3,88.0,64.0,5.3,58.0,20.4,11.4,36.4,8.5,70.7,37.6,3.0,11.5
24021750505,16.0,18.1,28.7,66.1,4.1,10.0,3.7,73.6,84.5,56.7,4.4,55.7,20.9,10.0,32.6,10.7,71.8,38.8,2.3,12.1
24021750506,12.2,23.5,33.4,74.6,6.9,9.4,5.1,77.2,88.5,67.3,5.1,62.8,18.9,11.4,38.4,7.3,75.7,35.3,2.8,10.0
24021750507,22.0,19.8,31.6,67.8,4.2,10.2,4.7,72.9,82.2,56.1,5.7,50.6,21.1,12.2,34.3,13.6,69.1,41.5,2.9,15.2
24021750508,15.1,18.9,30.4,67.6,4.1,10.4,3.9,74.6,84.4,63.7,4.6,59.2,21.2,10.5,32.1,11.5,76.8,40.3,2.5,10.7
24021750600,4.9,25.0,30.9,77.1,9.7,9.7,5.1,79.7,89.4,74.2,4.5,75.1,21.6,8.7,37.6,4.8,78.0,29.9,2.5,5.7
24021750701,11.2,23.5,33.5,72.8,6.2,10.4,4.9,76.8,87.3,64.8,5.6,61.5,21.6,11.4,36.9,8.7,73.8,38.2,2.9,7.9
24021750702,12.4,27.6,37.4,75.7,7.7,10.8,6.4,78.0,86.9,66.1,7.5,58.0,22.0,13.2,39.3,9.9,75.6,39.3,3.7,12.0
24021750801,8.0,25.8,34.0,75.1,8.3,10.1,5.6,77.7,88.3,67.8,5.8,63.0,22.4,10.5,37.9,6.7,74.5,36.1,3.0,8.4
24021750802,5.4,29.3,36.8,80.3,11.3,9.4,6.0,82.1,92.6,74.1,4.9,73.1,19.5,10.8,41.8,4.4,78.6,32.7,3.0,4.5
24021750804,6.1,23.6,30.9,74.8,8.3,9.5,4.3,78.8,91.1,72.8,4.0,73.6,20.4,8.9,37.8,4.7,75.1,32.9,2.3,3.6
24021750805,6.0,21.3,29.5,72.8,6.9,9.5,3.8,77.9,90.4,67.3,3.5,71.9,20.3,8.5,35.5,5.0,75.9,33.5,2.1,7.8
