Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2023,VA,Virginia,Fauquier,51061,51061930304,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,3.2,,,2.7,3.8,"2,564","2,086",POINT (-77.7224372 38.806579),51061930304,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat
2023,VA,Virginia,Fairfax,51059,51059461100,BRFSS,Disability,Any disability among adults,%,Crude prevalence,20.7,,,17.9,23.8,"7,442","5,503",POINT (-77.2916371 38.8986765),51059461100,DISABLT,DISABILITY,CrdPrv,Any Disability
2023,VA,Virginia,Fairfax,51059,51059461603,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,23.4,,,20.9,26.1,"5,056","4,090",POINT (-77.2721415 38.8712084),51059461603,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2023,VA,Virginia,Fairfax,51059,51059490105,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,3.8,,,3.1,4.5,"2,761","2,163",POINT (-77.4514548 38.8803573),51059490105,HLTHOUT,COPD,CrdPrv,COPD
2023,VA,Virginia,Fairfax,51059,51059451602,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,22.4,,,19.2,25.7,"2,885","2,244",POINT (-77.1453706 38.8515749),51059451602,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support
2023,VA,Virginia,Fairfax,51059,51059450602,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,7.1,,,6.1,8.4,"4,814","3,674",POINT (-77.1976333 38.8632892),51059450602,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2023,VA,Virginia,Fairfax,51059,51059482204,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,9.4,,,7.9,11.2,"1,975","1,838",POINT (-77.3540586 38.9577858),51059482204,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2023,VA,Virginia,Fairfax,51059,51059430802,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,29.1,,,26.2,32.2,"4,276","3,402",POINT (-77.2270784 38.7885941),51059430802,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2023,VA,Virginia,Fairfax,51059,51059481600,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,16.4,,,13.8,19.1,"3,480","2,622",POINT (-77.3352284 38.9025047),51059481600,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support
2023,VA,Virginia,Fairfax,51059,51059491801,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,2.2,,,1.9,2.5,"2,324","1,886",POINT (-77.3946652 38.8575252),51059491801,DISABLT,SELFCARE,CrdPrv,Self-care Disability
